"Latest: Time (s)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)","Latest: Force (N)"
784.3,37.8799448819,37.3225129766,39.1249450029,-0.0136997344089
784.4,37.8552409679,37.3470858784,39.1249450029,-0.00684986720444
784.5,37.8552409679,37.3225129766,39.1249450029,-0.00684986720444
784.6,37.8799448819,37.3470858784,39.1249450029,-0.00684986720444
784.7,37.8799448819,37.3225129766,39.1249450029,-0.000402933364967
784.8,37.8799448819,37.3470858784,39.1249450029,-0.0136997344089
784.9,37.8799448819,37.3470858784,39.1249450029,-0.00684986720444
785,37.8799448819,37.3225129766,39.1249450029,-0.00684986720444
785.1,37.8799448819,37.3470858784,39.1249450029,-0.000402933364967
785.2,37.8799448819,37.3470858784,39.1249450029,0.0060440004745
785.3,37.9046550174,37.3470858784,39.1249450029,-0.000402933364967
785.4,37.8799448819,37.3470858784,39.1249450029,-0.000402933364967
785.5,37.9046550174,37.3470858784,39.1249450029,-0.000402933364967
785.6,37.8799448819,37.371664691,39.1249450029,-0.00684986720444
785.7,37.8799448819,37.371664691,39.1249450029,-0.00684986720444
785.8,37.8799448819,37.3470858784,39.1249450029,-0.00684986720444
785.9,37.8799448819,37.371664691,39.1249450029,-0.00684986720444
786,37.9046550174,37.3470858784,39.1249450029,-0.0201466682483
786.1,37.9046550174,37.371664691,39.1249450029,0.0060440004745
786.2,37.8799448819,37.371664691,39.1249450029,-0.0136997344089
786.3,37.8799448819,37.371664691,39.1249450029,0.0060440004745
786.4,37.8799448819,37.371664691,39.1249450029,-0.000402933364967
786.5,37.8799448819,37.371664691,39.1249450029,-0.0136997344089
786.6,37.9046550174,37.3977861718,39.1249450029,-0.000402933364967
786.7,37.8799448819,37.3977861718,39.1249450029,-0.000402933364967
786.8,37.8799448819,37.3977861718,39.1249450029,-0.000402933364967
786.9,37.8799448819,37.3977861718,39.1249450029,-0.00684986720444
787,37.8799448819,37.371664691,39.1249450029,-0.00684986720444
787.1,37.9046550174,37.3977861718,39.1249450029,-0.00684986720444
787.2,37.9046550174,37.3977861718,39.1249450029,-0.000402933364967
787.3,37.9046550174,37.371664691,39.1249450029,-0.0136997344089
787.4,37.9046550174,37.3977861718,39.1249450029,-0.00684986720444
787.5,37.8799448819,37.3470858784,39.1249450029,-0.00684986720444
787.6,37.9046550174,37.371664691,39.1249450029,0.0060440004745
787.7,37.8799448819,37.3977861718,39.1249450029,-0.000402933364967
787.8,37.9046550174,37.3977861718,39.1249450029,-0.00684986720444
787.9,37.8799448819,37.3977861718,39.1515508212,-0.00684986720444
788,37.9046550174,37.371664691,39.1249450029,-0.00684986720444
788.1,37.9046550174,37.3977861718,39.1249450029,-0.0136997344089
788.2,37.8799448819,37.3977861718,39.1249450029,-0.00684986720444
788.3,37.8799448819,37.371664691,39.099911422,-0.000402933364967
788.4,37.8799448819,37.3977861718,39.1249450029,-0.000402933364967
788.5,37.9046550174,37.3977861718,39.099911422,-0.000402933364967
788.6,37.8799448819,37.3977861718,39.099911422,-0.0136997344089
788.7,37.9046550174,37.3977861718,39.1249450029,-0.000402933364967
788.8,37.9046550174,37.3977861718,39.1249450029,-0.0136997344089
788.9,37.8799448819,37.3977861718,39.099911422,-0.00684986720444
789,37.8799448819,37.4223772205,39.1249450029,0.0060440004745
789.1,37.8799448819,37.3977861718,39.1249450029,-0.0136997344089
789.2,37.9046550174,37.4223772205,39.1249450029,-0.00684986720444
789.3,37.8799448819,37.3977861718,39.1249450029,-0.000402933364967
789.4,37.8799448819,37.3977861718,39.1249450029,0.0060440004745
789.5,37.8799448819,37.4223772205,39.1249450029,-0.00684986720444
789.6,37.8799448819,37.3977861718,39.1249450029,-0.0201466682483
789.7,37.8799448819,37.4223772205,39.1249450029,-0.00684986720444
789.8,37.8799448819,37.4223772205,39.1249450029,-0.00684986720444
789.9,37.8799448819,37.4223772205,39.1249450029,-0.0201466682483
790,37.8799448819,37.4223772205,39.1249450029,-0.00684986720444
790.1,37.8799448819,37.4223772205,39.1249450029,0.0060440004745
790.2,37.8799448819,37.4223772205,39.1249450029,0.0060440004745
790.3,37.8799448819,37.4223772205,39.1249450029,0.0060440004745
790.4,37.8799448819,37.4223772205,39.1249450029,-0.00684986720444
790.5,37.8799448819,37.4223772205,39.1515508212,-0.00684986720444
790.6,37.8799448819,37.4223772205,39.1249450029,-0.00684986720444
790.7,37.8799448819,37.4223772205,39.1249450029,-0.00684986720444
