"Latest: Time (s)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)","Latest: Force (N)"
374.4,38.5680124199,37.6501285568,39.9550572856,-0.803852063109
374.5,38.5929010651,37.5993014493,39.8761074329,-0.981545677059
374.6,38.5929010651,37.6254818849,39.8508588505,-0.284873889032
374.7,38.6193525336,37.6747813155,39.9282061521,-0.942058207293
374.8,38.5167005159,37.5993014493,40.0072042329,-0.462164569617
374.9,38.5929010651,37.574667286,39.8761074329,-1.33612703823
375,38.6193525336,37.6501285568,39.9282061521,-0.830042731832
375.1,38.5680124199,37.6747813155,39.9550572856,-1.5400113209
375.2,38.5167005159,37.6254818849,40.0072042329,-1.07986141811
375.3,38.5929010651,37.6254818849,39.9282061521,-1.36272064032
375.4,38.6193525336,37.6747813155,39.9550572856,-1.02103314683
375.5,38.5929010651,37.6747813155,39.9803366655,-1.05367074939
375.6,38.5929010651,37.5993014493,39.9803366655,-1.27729876695
375.7,38.5929010651,37.6501285568,39.9029422051,-1.30348943567
375.8,38.6691639514,37.6747813155,40.0072042329,-0.698686454853
375.9,38.5680124199,37.6501285568,40.0072042329,-1.09960515299
376,38.5929010651,37.5993014493,39.9550572856,-1.06011768323
376.1,38.6193525336,37.6747813155,39.9029422051,-0.541139509151
376.2,38.5929010651,37.7009815571,40.0072042329,-0.882827002642
376.3,38.5167005159,37.6254818849,40.0578015366,-0.416230166011
376.4,38.6193525336,37.5993014493,39.9550572856,-0.711983255896
376.5,38.6193525336,37.6747813155,40.0072042329,-0.593520846596
376.6,38.5929010651,37.7009815571,40.0072042329,-1.25070516486
376.7,38.5415755001,37.6254818849,40.0578015366,-0.705536322057
376.8,38.6193525336,37.6747813155,39.9550572856,-1.11934888788
376.9,38.6691639514,37.7009815571,40.0072042329,-0.987992610899
377,38.5929010651,37.7256469153,40.0578015366,-1.19187689357
377.1,38.6193525336,37.6254818849,40.0072042329,-1.02748008067
377.2,38.6442549037,37.7009815571,39.9550572856,-1.06696755043
377.3,38.6956371481,37.7009815571,40.0324991145,-1.11290195404
377.4,38.5929010651,37.6501285568,40.0578015366,-0.73172699078
377.5,38.6442549037,37.5993014493,40.0072042329,-0.462164569617
377.6,38.6442549037,37.7009815571,39.9550572856,-0.797405129269
377.7,38.6193525336,37.7256469153,40.0324991145,-0.324361358798
377.8,38.5929010651,37.6747813155,40.0846936405,-0.73172699078
377.9,38.6691639514,37.6501285568,39.9803366655,-0.639455250202
378,38.6956371481,37.7256469153,40.0324991145,-0.468611503456
378.1,38.6442549037,37.7518605764,40.0578015366,-1.00128941194
378.2,38.5929010651,37.6747813155,40.1100116663,-0.836892599036
378.3,38.6956371481,37.7009815571,40.0072042329,-1.15883635764
378.4,38.7205600159,37.7256469153,40.0578015366,-1.04037394834
378.5,38.6442549037,37.7518605764,40.0846936405,-1.21806756229
378.6,38.7205600159,37.6747813155,40.0324991145,-1.11290195404
